pH,TDS,EC,TH,Ca,Mg,CO3,HCO3,NA,K,CHLORIDE,SULPHATE,NITRATE,FLUORIDE,Actual_Values,Predicted_Values
1.8544258239398541,-1.1086558458154374,-0.9096876572822038,-0.6847439219653609,-0.9237879055401679,-0.5294423781104708,-0.5001549403096306,-0.840805461340419,0.13741002753229498,-1.2012627804981069,-0.1743579744333204,1.492767154672964,2.3206893971847817,-1.0240976107511344,73.07,83.24
-1.4328168509256827,-0.2744539025211715,-0.3371382089405455,0.3116808844164327,0.6626086110923747,0.15450038299501415,-0.5001549403096306,0.5467222547405965,0.31840616570859204,-0.1265289476920597,1.4646069852398902,-0.2676666061940135,-0.6452083174192982,-0.365531568382321,141.67,140.43
0.07255596279778653,-0.5076716501088158,-0.48293329392940276,-0.49791427076877465,-0.677622928821325,-0.38288321501643835,-0.5001549403096306,-0.5206067576294154,0.762669413959503,-1.4162095470593161,1.3752900937045653,0.4545626290334644,2.925974645063165,0.14986794303675055,110.44,91.46
-2.2008642048662277,2.2849613786970777,1.5004873414398432,2.4851324933367205,2.6647504217389626,2.1672462228197267,-0.5001549403096306,0.4933558041220961,1.0917533015527705,1.5572207237040807,-1.3979993884672706,1.4476278274712464,-0.7662653669949748,-0.2509983436225272,275.01,260.8
-9.758450167641191,-0.11299546188357167,-0.12148297906119411,0.49851053561301906,0.9908285800508317,0.2717477134702401,-0.5001549403096306,-0.7340725601034177,-0.3150803179084477,2.0229387179200344,1.3752900937045653,-0.3985706550789939,-1.31102209008552,1.4670000277743775,202.57,165.15
0.4719405868468697,3.626860418662908,4.382977667573709,4.515348036339625,2.577225096683374,4.746687493274699,-0.5001549403096306,-0.3605074057739137,0.8367132886679882,2.7394279397907324,0.12485361221001778,-1.2607318046317957,1.7154041493063978,2.3259992134728296,330.83,304.43
0.07255596279778653,0.10228245896656146,0.018237310719794106,0.21826605881813957,0.19763032173456047,0.20335343735969164,-0.5001549403096306,-0.5206067576294154,0.26081648537977026,-0.8430181695627578,-0.18775550816361913,-1.4864284406403825,-0.03992306954091453,-0.7377645488516503,112.19,123.48
-2.2315860990238487,0.6165574921085462,0.28552829986603245,-0.7781587475636541,-1.1152495540992677,-0.5782954324751484,0.8826263652522893,1.5873680418013583,1.8239649514477905,0.9482048851139874,-1.348875098122842,-0.46627964588156995,0.0811339800347622,-1.0527309169410828,105.3,94.35
0.19544353942827386,3.2148423979247367,4.109611883219602,0.825462425207045,-0.677622928821325,1.2781206333825965,1.3435534671062628,0.8669209584515999,0.5076294010747209,1.9871142568264997,-1.0809244235168673,-0.1277346918686897,0.5048336535496307,-0.16509842505268194,229.99,236.8
-0.6954913911427586,0.9514342578754199,0.47688434891390763,0.00029813242212218584,0.06087200133520335,-0.021370612717824852,-0.5001549403096306,0.7601880572145991,0.8367132886679882,-0.7713692473756879,-1.3042166523551795,-0.20898548083178095,1.7759326740942363,-0.2796316498124757,126.14,119.53
2.8375264369837474,-0.6631501485005785,-0.6135413908985874,-0.2176697939738952,0.17027865765468905,-0.33403016065176083,-0.5001549403096306,-0.6006564335571662,1.8239649514477905,2.6319545565101277,0.2141705037453426,0.0031693570162906848,-0.16098011911659124,-1.6826636531199477,172.76,143.69
0.5333843751621147,-0.6571702062547415,-0.6141488704193743,-0.7470204723642231,-0.869084577380425,-0.6271484868398258,-0.5001549403096306,0.06642419917409098,0.5158564982645525,0.23171566324328935,1.3752900937045653,-0.17287401907040706,0.14166250482260057,-0.16509842505268194,92.05,81.57
-0.8491008619308671,-0.561491130321349,-0.5467186436120278,-0.8092970227630852,-1.2246562104187535,-0.5782954324751484,-0.5001549403096306,-0.2537745045369124,1.0917533015527705,0.23171566324328935,-1.3042166523551795,-0.1322486245888614,2.502274971548297,-0.5659647117119597,83.72,75.03
2.6531950720380206,-0.3521931517170529,-0.38877396820743243,-0.40449944517048153,-0.7870295851408108,-0.22655344104947034,2.2654076708142092,-0.09367515268141072,0.26081648537977026,-0.8430181695627578,0.258828949513005,0.14310127134161452,0.6864192279131458,-0.0505652002928885,94.13,90.46
-1.0334322268765967,-0.13691523086691978,-0.23994148561464065,0.24940433401757062,1.264345220849546,-0.13861794319305085,-0.5001549403096306,-1.0275880385051712,-0.9732480930949826,2.6319545565101277,0.5669722253098757,-1.0801744958249262,1.9575182484577514,-0.16509842505268194,166.3,162.8
